216000044,M6410,G
232000028,2,G
232000029,88,G
232000061,3000,G
232000067,388,G
232000087,3,G
232000088,42795,G
232000091,2000,G
232000093,3000A,G
222000105,M2316,G
230000087,42908,G
230000088,42759,G
230000097,42911,G
230000100,28-21,G
230000101,42755,G
230000106,20-31,G
230000110,22-23,G
230000112,20-22,G
230000116,42875,G
230000117,42998,G
230000120,29,G
230000122,42760,G
230000123,28-70,G
230000127,42787,G
230000128,42756,G
230000130,42818,G
230000131,43037,G
230000132,43063,G
230000142,28-82,G
230000143,20-51,G
230000144,20-61,G
230000176,20-52,G
230000177,21-17,G
230000178,21-81,G
221000005,13455,G
237000047,920,G
237000066,970-1,G
237000079,983,G
237000084,992,G
234001197,43089,G
234001200,20-21,G
234001201,29-95,G
234001202,21-14,G
234001206,20-33,G
234001209,43092,G
234001220,42906,G
234001223,28-72,G
234001230,43029,G
234001233,730,G
234001236,8109,G
234001237,8106,G
234001238,42792,G
234001239,42755,G
234001243,M5107,G
234001246,8409,G
234001247,36-14,G
234001248,36-13,G
234001249,14489,G
234001250,14519,G
234001251,1311,G
234001252,36-15,G
234001254,38-19,G
234001279,35-20,G
234001280,21-15,G
234001281,29-32,G
234001284,22-22,G
234001286,M5115,G
234001287,21-32,G
234001288,23-82,G
234001291,42811,G
234001294,912,G
234001298,918,G
234001299,918-1,G
234001302,928,G
234001303,930,G
234001304,930-1,G
234001306,980,G
234001310,990,G
234001314,916,G
234001315,917,G
234001317,M5121,G
234001372,911,G
234001373,935,G
234001375,924,G
234001380,924-1,G
234001386,912-1,G
234001390,930-2,G
234001411,924-2,G
234001415,12145,G
234001421,911-4,G
234001426,8401,G
234001427,989-1,G
234001428,989,G
234001429,989-4,G
234001430,988-5,G
234001432,988-7,G
234001433,981-1,G
234001434,989-5,G
234001435,987-5,G
234001443,987-3,G
234001456,42999,G
234001462,22-25,G
234001463,42938,G
234001464,22-81,G
234001468,25-21,G
234001469,43095,G
234001470,28-43,G
234001471,28-92,G
234001472,20-41,G
234001475,28-83,G
234001476,M2323,G
234001508,988-6,G
234001509,35-17,G
234001510,12236,G
234001513,918-5,G
234001514,961-5,G
234001517,21-33,G
234001528,20-53,G
234001529,21-91,G
234001532,22-14,G
234001533,43068,G
234001537,28-55,G
234001538,28-54,G
234001540,912-5,G
234001541,924A,G
234001542,930-4A,G
234001543,930-4B,G
234001544,930-4,G
234001545,930-5A,G
234001546,930-5B,G
234001547,982-1,G
234001548,981-5,G
234001557,918-7,G
234001559,24-47,G
234001564,14154,G
234001565,42746,G
234001566,21-18,G
234001567,21-19,G
234001572,38-26,G
234001573,38-52,G
234001574,2593224,G
234001576,2593255,G
234001577,M4130,G
234001578,17-1A,G
234001580,26-13,G
234001581,24,G
234001585,29-13,G
234001586,29-21,G
234001587,901,G
234001590,42757,G
234001591,42793,G
234001604,29-23,G
234001606,23-32,G
234001608,720-1A,G
234001610,5,G
234001611,6,G
234001612,7,G
234001613,28-20,G
234001614,24-33,G
234001615,20-42,G
234001617,9000-1A,G
234001619,M4434,G
234001622,M4137,G
234000001,1314875,G
234001075,22-13,G
234001077,28-50,G
234001078,28-71,G
234001079,43061,G
234001081,22-21,G
234001082,22-24,G
234001083,22-30,G
234001091,24-43,G
234001092,24-44,G
234001093,24-45,G
234001097,21-13,G
234001099,25-20,G
234001100,23-50,G
234001116,29-40,G
234001122,38-43,G
234001124,42788,G
234001128,23-94,G
234001133,21-30,G
234001156,42787,G
234001159,M4102,G
234001161,14550,G
234001163,6501,G
234001166,36-72,G
234001168,24-46,G
234001174,28-30,G
234001178,28-31,G
234001179,28-40,G
234001180,28-42,G
234001182,28-53,G
234001185,28-90,G
234001186,28-91,G
234001187,43098,G
234001188,29-22,G
234001191,29-41,G
234001194,29-31,G
234001196,43059,G
234000002,9000,G
234000003,30,G
234000012,17,G
234000021,700-2,G
234000024,720-1,G
234000026,720-2,G
234000028,43013,G
234000035,15,G
234000036,112,G
234000037,116,G
234000040,119,G
234000047,720,G
234000051,3500,G
234000057,42825,G
234000059,1,G
234000061,116-1,G
234000065,1005,G
234000072,13,G
234000075,500-2,G
234000077,500-5,G
234000078,111,G
234000130,1303,G
234000132,42768,G
234000150,42767,G
234000213,2,G
234000360,988-1,G
234000367,989-2,G
234000415,982,G
234000435,21-31,G
234000436,42815,G
234000438,23-81,G
234000441,20-54,G
234000446,10,G
234000448,42763,G
234000449,42794,G
234000451,42822,G
234000452,42853,G
234000453,28-41,G
234000454,28-51,G
234000455,42914,G
234000456,42944,G
234000457,42814,G
234000458,42975,G
234000459,43006,G
234000460,28-56,G
234000461,42845,G
234000462,42970,G
234000463,43001,G
234000466,42849,G
234000468,42846,G
234000469,42940,G
234000470,21,G
234000472,24-31,G
234000473,42764,G
234000476,42879,G
234000477,42823,G
234000478,47150,G
234000480,42854,G
234000481,43090,G
234000482,43060,G
234000489,13181,G
234000495,13241,G
234000505,42750,G
234000553,12785,G
234000556,12844,G
234000586,12905,G
234000691,984,G
234000693,984-1,G
234000751,42883,G
234000753,42786,G
234000754,43091,G
234000755,42757,G
234000756,42816,G
234000757,42847,G
234000759,23,G
234000762,42758,G
234000763,42789,G
234000765,23-13,G
234000768,42848,G
234000769,42878,G
234000770,23-71,G
234000771,42939,G
234000777,42788,G
234000798,13912,G
234000805,38,G
234000824,12420,G
234000829,12086,G
234000849,42752,G
234000850,11355,G
234000861,988-2,G
234000862,989-3,G
234000875,M4101,G
234000878,8100,G
234000882,1150,G
234000900,42909,G
234000901,14093,G
234000929,35-32,G
234000948,13820,G
234000960,42756,G
234000996,14246,G
234000997,114-1,G
234000998,13332,G
234000999,36,G
234001000,13210,G
234001001,14397,G
234001003,13547,G
234001004,13606,G
234001005,37-41,G
234001006,13516,G
234001007,13575,G
234001008,37-32,G
234001009,14336,G
234001010,13394,G
234001011,13302,G
234001012,14366,G
234001013,14427,G
234001014,13424,G
234001016,38-23,G
234001017,38-21,G
234001019,14215,G
234001021,38-42,G
234001022,38-81,G
234001023,38-82,G
234001025,35-35,G
234001027,38-14,G
234001028,12816,G
234001029,35-21,G
234001030,35,G
234001034,35-36,G
234001041,36-71,G
234001042,13271,G
234001043,36-51,G
234001044,37-31,G
234001046,13150,G
234001047,13485,G
234001056,14277,G
234001057,14458,G
234001058,37,G
234001059,13363,G
234001062,42969,G
234001063,42968,G
234001074,23-92,G
228000262,5006,G
228000263,5007,G
230000140,28-81,G
218000005,3200,G
219000026,9700,G
204000025,521,G
237000031,987-6,G
237000052,923,G
237000053,929,G
237000054,960,G
237000059,961,G
237000060,962,G
237000061,963,G
237000062,964,G
237000064,965-1,G
237000070,972,G
237000071,972-1,G
237000077,981,G
237000083,991,G
237000085,992-1,G
237000086,993,G
237000087,929-1,G
237000094,931,G
237000096,932,G
237000097,939,G
237000098,951,G
237000099,952,G
237000100,953,G
237000101,950,G
237000102,994,G
234001203,1113-10,G
234001204,1113-11,G
234001211,23-41,G
234001213,43064,G
234001218,43065,G
234001219,28-17,G
234001224,23-80,G
234001232,42979,G
234001235,8906,G
234001241,M7412,G
234001244,9600,G
234001245,M4108,G
234001253,38-83,G
234001257,522,G
234001271,1570,G
234001274,987-2,G
234001282,21-16,G
234001290,1551B,G
234001292,911-1,G
234001293,911-2,G
234001296,913,G
234001297,915,G
234001300,919,G
234001309,988,G
234001318,M5422,G
234001370,994-1,G
234001371,995,G
234001374,911-3,G
234001378,952-4,G
234001379,952-1,G
234001383,962-1,G
234001387,952-2,G
234001388,952-3,G
234001389,951-1,G
234001392,938,G
234001395,965-2,G
234001396,974,G
234001397,974-1,G
234001399,974-2,G
234001400,963-1,G
234001402,918-2,G
234001403,961-1,G
234001404,964-1,G
234001405,981-2,G
234001406,923-1,G
234001407,923-2,G
234001408,929-2,G
234001409,929-3,G
234001410,925,G
234001412,925-1,G
234001413,915-2,G
234001414,915-1,G
234001417,913-2,G
234001418,913-3,G
234001419,913-4,G
234001431,988-4,G
234001440,980-1,G
234001441,983-1,G
234001442,981-3,G
234001444,987-4,G
234001446,912-2,G
234001478,43000,G
234001479,911-5,G
234001480,918-3,G
234001481,918-4,G
234001483,932-1,G
234001484,938-1,G
234001485,971,G
234001486,971-1,G
234001487,971-2,G
234001488,972-2,G
234001489,972-3,G
234001490,972-4,G
234001491,994-2,G
234001493,954,G
234001494,953-1,G
234001495,953-2,G
234001496,953-4,G
234001497,955-1,G
234001498,955,G
234001499,953-3,G
234001500,961-2,G
234001501,961-3,G
234001502,965,G
234001503,966,G
234001504,966-1,G
234001505,961-4,G
234001506,912-3,G
234001507,915-3,G
234001515,971-3,G
234001516,1113-2,G
234001522,38-84,G
234001524,34-16,G
234001526,11720,G
234001549,915-4,G
234001550,950-3,G
234001551,950B,G
234001553,981-4,G
234001554,918-6,G
234001555,918-8,G
234001556,918-9,G
234001560,912-4,G
234001561,43034,G
234001575,38-53,G
234001582,43070,G
234001583,43071,G
234001584,43072,G
234001588,902,G
234001589,904,G
234001592,14185,G
234001593,42758,G
234001594,38-85,G
234001595,35-31,G
234001596,35-33,G
234001597,903,G
234001598,905,G
234001600,956,G
234001602,958,G
234001603,950-1,G
234001607,43036,G
234001609,500-1A,G
234001616,906,G
234001618,3,G
234001621,33,G
234001084,23-93,G
234001088,23-70,G
234001089,23-90,G
234001102,43035,G
234001103,43066,G
234001104,27-20,G
234001105,27-21,G
234001106,27-30,G
234001107,27-40,G
234001108,29-50,G
234001110,29-70,G
234001118,12175,G
234001138,1551,G
234001145,12875,G
234001146,12966,G
234001148,35-27,G
234001149,35-25,G
234001150,35-26,G
234001153,38-24,G
234001158,12754,G
234000009,32,G
234000011,1113-1,G
234000013,1007-1,G
234000015,1007,G
234000016,1112,G
234000027,6900,G
234000034,16,G
234000038,65,G
234000039,114,G
234000042,1113,G
234000044,520,G
234000046,660,G
234000069,1117,G
234000070,8,G
234000074,1005-1,G
234000079,500-1,G
234000082,42779,G
234000083,12,G
234000095,9,G
234000136,1550,G
234000148,1314906,G
234000309,9301,G
234000310,1009,G
234000311,1865295,G
234000313,1500-2,G
234000316,60,G
234000317,11689,G
234000324,1550-1,G
234000414,987-1,G
234000512,42972,G
234000514,42884,G
234000517,42915,G
234000519,42945,G
234000521,42976,G
234000523,25,G
234000525,42791,G
234000527,25-31,G
234000528,42819,G
234000530,42850,G
234000531,25-41,G
234000533,42880,G
234000535,42761,G
234000538,27,G
234000540,42762,G
234000542,42793,G
234000544,42821,G
234000545,27-31,G
234000547,42852,G
234000694,984-2,G
234000695,983-2,G
234000764,23-31,G
234000766,42817,G
234000813,12936,G
234000860,988-3,G
234000879,8101,G
234000884,8201,G
234000956,38-51,G
234000995,M4403,G
234001015,38-22,G
234001018,13881,G
234001040,34,G
234001051,34-13,G
228000179,101,G
228000181,1241,G
204000080,1002,G
204000081,1151,G
204000082,G8110,G
205000001,70,G
205000002,333,G
205000003,42795,G
206000003,300,G
206000005,9414,G
206000007,102,G
204000035,1251,G
204000041,9004,G
204000046,9003,G
204000051,390,G
204000057,3330,G
204000060,103,G
204000070,9007,G
234000007,5,G
234000886,9300,G
222000062,30-13,G
222000063,43069,G
222000064,43038,G
222000065,42946,G
222000072,167,G
222000073,1700,G
222000074,1100,G
222000078,1200,G
222000082,10,G
222000084,8002,G
222000088,8001,G
222000089,56,G
222000107,1001,G
222000109,330-3,G
222000124,42949,G
222000131,42885,G
222000133,330-2,G
222000136,1000-2,G
222000137,1200-1,G
222000139,30-16,G
222000022,91,G
222000023,55,G
222000027,97,G
222000028,165,G
222000029,6,G
222000030,23743,G
222000031,65,G
222000032,42739,G
222000033,30-15,G
222000034,42855,G
222000035,10990,G
222000037,42916,G
222000038,43008,G
222000039,42977,G
222000040,43099,G
222000041,42765,G
222000042,30-14,G
222000045,112-1,G
222000046,1670,G
222000047,168,G
222000048,166-1,G
222000049,1660,G
222000053,8,G
222000054,42948,G
222000055,7,G
222000056,167-1,G
222000058,1,G
222000061,42824,G
234001511,1000-1,G
234000041,330-1,G
234000873,100,G
228000001,66,G
228000002,10,G
228000005,24198,G
228000008,43013,G
228000010,670,G
228000012,820,G
228000013,42757,G
228000017,68,G
228000018,43012,G
228000019,88,G
228000020,7,G
228000021,8,G
228000029,74,G
228000038,90,G
228000055,22,G
228000056,25965,G
228000061,91,G
228000066,71,G
228000071,25934,G
228000079,70,G
228000081,12,G
228000082,92,G
228000089,83,G
228000092,93,G
228000108,95,G
228000113,42979,G
228000119,30317,G
228000128,73,G
228000130,30682,G
228000132,34700,G
228000133,82,G
228000136,2,G
228000139,84,G
228000140,30713,G
228000148,3,G
228000149,103,G
228000156,89,G
228000159,9,G
228000160,42980,G
228000162,33970,G
228000165,11,G
228000168,6,G
228000170,42767,G
228000174,5000,G
228000175,5005,G
228000176,5001,G
228000177,1132619,G
228000182,5003,G
228000183,5002,G
228000184,5600,G
228000189,29587,G
228000190,26665,G
228000191,26755,G
228000197,75,G
228000199,42790,G
228000200,81,G
228000201,72,G
228000203,42759,G
228000204,24,G
228000205,26299,G
228000206,27791,G
228000207,27820,G
228000208,27851,G
228000209,27881,G
228000210,27942,G
228000211,28004,G
228000212,28034,G
228000214,29952,G
228000218,97,G
228000220,27912,G
228000222,27973,G
228000223,27760,G
228000225,28065,G
228000232,26696,G
228000233,26724,G
228000234,26785,G
228000238,20,G
228000246,85,G
228000249,690,G
228000250,43009,G
228000251,33604,G
228000255,43010,G
228000256,101,G
228000258,14,G
228000259,42749,G
228000265,42887,G
228000266,16,G
228000267,42808,G
228000268,65,G
228000269,102,G
228000270,105,G
228000271,5700,G
228000273,970,G
228000274,77,G
228000275,100,G
228000276,43014,G
228000277,43015,G
228000278,43040,G
228000281,32143,G
228000285,32874,G
228000286,55,G
228000287,99,G
228000385,94,G
224000012,30,G
224000014,10990,G
224000015,98,G
224000016,76,G
216000005,42946,G
216000010,36161,G
216000011,55,G
216000012,70,G
216000015,314,G
216000016,62,G
216000017,33,G
216000019,42947,G
216000020,38,G
216000021,301,G
216000023,88,G
216000026,3100,G
216000030,501A,G
216000032,12055,G
216000036,31,G
216000037,10,G
216000041,5,G
216000043,3101,G
216000045,8407,G
216000046,5609,G
216000048,42795,G
216000049,42826,G
216000050,42887,G
216000051,42948,G
216000052,42736,G
216000054,500,G
216000055,501B,G
216000059,12086,G
216000060,300,G
216000061,3102,G
216000064,310,G
217000001,1,G
217000002,101,G
217000003,52,G
217000004,77,G
217000005,511,G
217000006,61,G
217000007,99,G
217000009,32,G
217000010,35,G
217000011,5601,G
217000012,350,G
217000013,320,G
217000014,110,G
210000028,220,G
200000104,3000,G
200000149,7790,G
200000150,7800,G
200000191,7900,G
200000265,42765,G
200000267,787,G
233000079,20,G
233000080,21,G
233000081,24,G
233000083,30,G
233000085,23,G
233000086,38,G
233000087,42,G
233000094,25,G
233000095,26,G
233000096,27,G
233000126,12086,G
233000139,8155,G
233000143,13912,G
233000258,8156,G
233000262,13881,G
233000007,777,G
233000008,33,G
233000010,12055,G
233000013,2,G
233000015,4,G
233000019,42857,G
233000021,42859,G
233000022,15,G
233000024,14,G
233000025,9,G
233000026,19,G
233000027,42795,G
233000028,3,G
233000029,42770,G
233000030,42769,G
233000031,7770,G
233000032,7780,G
233000034,16,G
233000035,42768,G
233000036,18,G
233000038,42826,G
233000040,6,G
233000041,11,G
233000043,42888,G
233000044,17,G
233000045,42889,G
233000046,8,G
233000047,42950,G
233000048,1,G
233000049,42949,G
233000051,42736,G
233000052,42767,G
233000056,42917,G
233000057,42948,G
233000058,7,G
233000059,43044,G
233000060,43041,G
233000062,43043,G
233000064,10,G
240000067,42860,G
240000068,42743,G
240000069,42744,G
240000070,42736,G
240000071,42772,G
240000072,42896,G
240000073,42738,G
240000075,1,G
240000077,42856,G
240000078,42858,G
240000080,42980,G
240000081,42949,G
240000083,42951,G
240000085,42952,G
240000086,42985,G
240000087,42924,G
240000089,22,G
240000091,42953,G
240000092,42954,G
240000093,42986,G
240000094,42955,G
240000095,42836,G
240000096,5,G
240000098,42862,G
240000099,42863,G
240000100,42890,G
240000102,42925,G
240000103,42928,G
240000104,42950,G
240000105,36617,G
240000109,24,G
240000110,42926,G
240000111,42956,G
240000112,42927,G
240000113,42745,G
240000114,42741,G
240000115,42746,G
240000116,42747,G
240000117,42748,G
240000118,42770,G
240000119,42773,G
240000120,3,G
240000121,42830,G
240000122,42778,G
240000124,42898,G
240000125,11,G
240000126,42765,G
240000127,42766,G
240000128,1-41,G
240000129,1-32,G
240000130,1-42,G
240000131,1-33,G
240000132,1-43,G
240000133,42753,G
240000134,42754,G
240000135,42816,G
240000136,42866,G
240000137,5-55,G
240000138,5-88,G
240000139,43000,G
240000140,42814,G
240000141,8-33,G
240000142,8-44,G
240000143,8-55,G
240000144,42998,G
240000145,43008,G
240000146,30,G
240000002,42740,G
240000003,42739,G
240000004,42742,G
240000007,36526,G
240000008,36557,G
240000009,42777,G
240000011,42771,G
240000012,42775,G
240000014,42768,G
240000015,42769,G
240000016,6,G
240000017,42887,G
240000018,42888,G
240000019,42889,G
240000020,42796,G
240000021,42891,G
240000022,42894,G
240000023,42892,G
240000026,42774,G
240000028,42799,G
240000029,42776,G
240000033,42767,G
240000036,42981,G
240000037,10,G
240000038,43009,G
240000039,43010,G
240000041,7,G
240000042,42917,G
240000043,42979,G
240000044,42918,G
240000045,42984,G
240000046,42923,G
240000047,42919,G
240000048,42920,G
240000049,42921,G
240000051,42827,G
240000053,42829,G
240000055,42826,G
240000056,42832,G
240000057,42834,G
240000058,42833,G
240000059,42835,G
240000060,42831,G
240000062,42857,G
240000063,42859,G
240000064,42737,G
232000005,9008,G
232000006,1002,G
232000007,8000,G
232000016,69,G
232000017,60,G
232000025,60-3김포,G
232000047,8600,G
232000071,M6117,G
232000072,8601,G
232000073,1004,G
232000075,M6427,G
232000081,6427,G
232000082,1,G
232000083,42736,G
232000090,G6000,G
232000094,G6001,G
232000096,4,G
232000097,42826,G
232000098,8601A,G
200000008,400,G
200000012,990,G
200000013,999,G
200000014,18323,G
200000016,18295,G
200000018,18354,G
200000020,18384,G
200000022,18415,G
200000060,11,G
200000122,999-1,G
200000183,400-4,G
200000261,400-5,G
200000268,400-2,G
204000004,6,G
204000005,57,G
204000007,357,G
204000024,9407,G
204000032,240,G
204000044,350,G
215000001,18264,G
215000003,18295,G
215000004,50,G
215000005,51,G
215000006,18629,G
215000007,18660,G
215000008,52,G
215000009,18994,G
215000010,19511,G
215000012,19360,G
215000013,19480,G
215000014,55,G
215000015,56,G
215000016,57,G
215000017,59,G
215000018,21245,G
215000019,21217,G
215000021,58,G
215000022,21186,G
215000023,100-2,G
215000024,100-1,G
215000025,1,G
215000026,42736,G
215000027,42737,G
215000028,21276,G
215000029,54,G
